Grapheme	IPA	Note
tʲ	tʲ	
kʰ	kʰ	
tʰ	tʰ	
tʃ	tʃ	
dʒ	dʒ	
N	n	
ĩ̌ 	ĩ̌/ĩ	
ĩ̌	ĩ̌/ĩ	
ĩ́	ĩ́/ĩ	
t	t	
i᷅	i᷅/i	
k	k	
ʝ	ʝ	
n	n	
a:	a:	
ɨ:	ɨ:	
e:	e:	
u:	u:	
ḗ	ẽ́/ẽ	
ɪ̃́	ɪ̃́/ɪ̃	
o:	o:	
ù:	ù:/u:	
á:	á:/a:	
ò:	ò:/o:	
i:	i:	
ɔ́	ɔ́/ɔ	
è:	è:/e:	
â:	â:/a:	
ê:	ê:/e:	
î:	î:/i:	
ô:	ô:/o:	
û:	û:/u:	
ẽ̌:	ẽ̌:/ẽ:	
ẽ́:	ẽ́:/ẽ:	
ẽ̂:	ẽ̂:/ẽ:	
ẽ:	ẽ:	
ě:	ě:/e:	
ë:	ë:	
ɔ̃:	ɔ̃:	
w̃:	w̃:	
ũ:	ũ:	
ʊ̌:	ʊ̌:/ʊ:	
ʊ̂:	ʊ̂:/ʊ:	
ʊ:	ʊ:	
ʊ̀:	ʊ̀:/ʊ:	
ʊ́:	ʊ́:/ʊ:	
ṹ:	ṹ:/ũ:	
ǔ:	ǔ:/u:	
õ:	õ:	
ǒ:	ǒ:/o:	
õ̀:	õ̀:/õ:	
ṍ:	ṍ:/õ:	
ǎ:	ǎ:/a:	
ã:	ã:	
ã́:	ã́:/ã:	
ã̀:	ã̀:/ã:	
ã̌:	ã̌:/ã:	
ã̂:	ã̂:/ã:	
ǐ:	ǐ:/i:	
ĩ́:	ĩ́:/ĩ:	
ĩ̂:	ĩ̂:/ĩ:	
ĩ̀:	ĩ̀:/ĩ:	
ĩ:	ĩ:	
ɪ̀:	ɪ̀:/ɪ:	
ɪ́:	ɪ́:/ɪ:	
ɪ̃:	ɪ̃:	
ɪ̂:	ɪ̂:/ɪ:	
ɪ̌:	ɪ̌:/ɪ:	
ɪ̃̂:	ɪ̃̂:/ɪ̃:	
â	â/a	
ê	ê/e	
î	î/i	
ô	ô/o	
û	û/u	
ẽ̌	ẽ̌/ẽ	
ẽ́	ẽ́/ẽ	
ẽ̂	ẽ̂/ẽ	
ẽ	ẽ	
ě	ě/e	
ë	ë	
ɔ̃	ɔ̃	
w̃	w̃	
ũ	ũ	
ʊ̌	ʊ̌/ʊ	
ʊ̂	ʊ̂/ʊ	
ʊ	ʊ	
ʊ̀	ʊ̀/ʊ	
ʊ́	ʊ́/ʊ	
ṹ	ṹ/ũ	
ǔ	ǔ/u	
õ	õ	
ǒ	ǒ/o	
õ̀	õ̀/õ	
ṍ	ṍ/õ	
ã̀	ã̀/ã	
ã̌	ã̌/ã	
ã̂	ã̂/ã	
ǎ	ǎ/a	
ã́	ã́/ã	
ã	ã	
ĩ̂	ĩ̂/ĩ	
ĩ̀	ĩ̀/ĩ	
ĩ	ĩ	
ǐ	ǐ/i	
ɪ̀	ɪ̀/ɪ	
ɪ́	ɪ́/ɪ	
ɪ̃	ɪ̃	
ɪ̂	ɪ̂/ɪ	
ɪ̌	ɪ̌/ɪ	
ɪ̃̂	ɪ̃̀/ɪ	
ɲ	ɲ	
ʒ	ʒ	
y	y	
w	w	
β	β	
v	v	
ɨ	ɨ	
c	c	
χ	χ	
ö	ö	
ŋ	ŋ	
r	r	
ʃ	ʃ	
u	u	
o	o	
p	p	
ɔ	ɔ	
ò	ò/o	
g	g	
b	b	
'	NULL	
ɯ̃	ɯ̃	
ɯ	ɯ	
ə	ə	
j	j	
s	s	
ì	ì/i	
m	m	
ù	ù/u	
é	é/e	
ɪ	ɪ	
ɬ	ɬ	
à:	à:/a:	
à	à/a	
á	á/a	
ɺ	ɺ	
e	e	
ɣ	ɣ	
ɤ	ɤ	
ʔ	ʔ	
ɸ	ɸ	
ɾ	ɾ	
d	d	
ó	ó/o	
è	è/e	
í	í/i	
i	i	
a	a	
h	h	
ú	ú/u	
x	x	
z	z	
l	l	
.	NULL	
