ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CU
LencaSalvador-77_water-1,,LencaSalvador,77_water,wal,wal,w a l,,constenla2005,1,,^ w a l $,LencaSalvador,a
LencaHonduras-77_water-1,,LencaHonduras,77_water,was,was,w a s,,constenla2005,1,,^ w a s $,LencaHonduras,a
Cacaopera-77_water-1,,Cacaopera,77_water,li,li,l i,,constenla2005,2,,^ l i $,Cacaopera,b
Mayangna-77_water-1,,Mayangna,77_water,was,was,w a s,,constenla2005,1,,^ w a s $,Mayangna,a
Ulwa-77_water-1,,Ulwa,77_water,was,was,w a s,,constenla2005,1,,^ w a s $,Ulwa,a
Miskito-77_water-1,,Miskito,77_water,li,li,l i,,constenla2005,2,,^ l i $,Miskito,b
Pech-77_water-1,,Pech,77_water,àsò,àsò,à/a s ò/o,,constenla2005,3,,^ à s ò $,Pech,
Rama-77_water-1,,Rama,77_water,si:,si:,s iː,,constenla2005,4,,^ s i: $,Rama,c
MalekuJaika-77_water-1,,MalekuJaika,77_water,ti:,ti:,t iː,,constenla2005,4,,^ t i: $,MalekuJaika,c
Boruca-77_water-1,,Boruca,77_water,díʔ,díʔ,d í/i ʔ,,constenla2005,4,,^ d í ʔ $,Boruca,c
Bribri-77_water-1,,Bribri,77_water,dǐʔ,dǐʔ,d ǐ/i ʔ,,constenla2005,4,,^ d ǐ ʔ $,Bribri,c
Cabecar-77_water-1,,Cabecar,77_water,díkɺʊ́,díkɺʊ́,d í/i k ɺ ʊ́/ʊ,,constenla2005,4,,^ d í k ɺ ʊ́ $,Cabecar,c
Teribe-77_water-1,,Teribe,77_water,dí,dí,d í/i,,constenla2005,4,,^ d í $,Teribe,c
Ngabere-77_water-1,,Ngabere,77_water,ɲɤ,ɲɤ,ɲ ɤ,,constenla2005,4,,^ ɲ ɤ $,Ngabere,c
Buglere-77_water-1,,Buglere,77_water,tʃi,tʃi,tʃ i,,constenla2005,4,,^ tʃ i $,Buglere,c
Dorasque-77_water-1,,Dorasque,77_water,yi,yi,j i,,constenla2005,4,,^ y i $,Dorasque,c
SanBlasKuna-77_water-1,,SanBlasKuna,77_water,ti:,ti:,t iː,,constenla2005,4,,^ t i: $,SanBlasKuna,c
Cogui-77_water-1,,Cogui,77_water,ni,ni,n i,,constenla2005,4,,^ n i $,Cogui,c
Arhuaco-77_water-1,,Arhuaco,77_water,dʒe,dʒe,dʒ e,,constenla2005,4,,^ dʒ e $,Arhuaco,c
Malayo-77_water-1,,Malayo,77_water,'dʒiɾa,'dʒiɾa,'d/d ʒ i ɾ a,,constenla2005,4,,^ 'd ʒ i ɾ a $,Malayo,c
Chimila-77_water-1,,Chimila,77_water,ditake:,ditake:,d i t a k eː,,constenla2005,4,,^ d i t a k e: $,Chimila,c
Chibcha-77_water-1,,Chibcha,77_water,sie,sie,s i e,,constenla2005,4,,^ s i e $,Chibcha,c
CentralTunebo-77_water-1,,CentralTunebo,77_water,'riʔa,'riʔa,'r/r i ʔ a,,constenla2005,4,,^ 'r i ʔ a $,CentralTunebo,c
Bari-77_water-1,,Bari,77_water,sĩ: mã,sĩ: mã,s ĩː + m ã,,constenla2005,4,,^ s ĩ: + m ã $,Bari,c
LencaSalvador-45_yellow-1,,LencaSalvador,45_yellow,ku,ku,k u,,constenla2005,5,,^ k u $,LencaSalvador,
LencaHonduras-45_yellow-1,,LencaHonduras,45_yellow,suninga,suninga,s u n i n g a,,constenla2005,6,,^ s u n i n g a $,LencaHonduras,
Cacaopera-45_yellow-1,,Cacaopera,45_yellow,maju,maju,m a j u,,constenla2005,7,,^ m a j u $,Cacaopera,
Mayangna-45_yellow-1,,Mayangna,45_yellow,lalahni,lalahni,l a l a h n i,,constenla2005,8,,^ l a l a h n i $,Mayangna,a
Ulwa-45_yellow-1,,Ulwa,45_yellow,lalahka,lalahka,l a l a h k a,,constenla2005,8,,^ l a l a h k a $,Ulwa,a
Miskito-45_yellow-1,,Miskito,45_yellow,lalalhni,lalalhni,l a l a l h n i,,constenla2005,8,,^ l a l a l h n i $,Miskito,a
Pech-45_yellow-1,,Pech,45_yellow,sè: wa,sè: wa,s èː/eː + w a,,constenla2005,9,,^ s è: + w a $,Pech,
Rama-45_yellow-1,,Rama,45_yellow,nuknukŋa,nuknukŋa,n u k n u k ŋ a,,constenla2005,10,,^ n u k n u k ŋ a $,Rama,
MalekuJaika-45_yellow-1,,MalekuJaika,45_yellow,ɬaxa:ɾa ɬutu iŋa,ɬaxa:ɾa ɬutu iŋa,ɬ a x aː ɾ a + ɬ u t u + i ŋ a,,constenla2005,11,,^ ɬ a x a: ɾ a + ɬ u t u + i ŋ a $,MalekuJaika,
Boruca-45_yellow-1,,Boruca,45_yellow,ʃòsát,ʃòsát,ʃ ò/o s á/a t,,constenla2005,12,,^ ʃ ò s á t $,Boruca,
Bribri-45_yellow-1,,Bribri,45_yellow,tsikidǐdǐ,tsikidǐdǐ,t s i k i d ǐ/i d ǐ/i,,constenla2005,13,,^ t s i k i d ǐ d ǐ $,Bribri,b
Cabecar-45_yellow-1,,Cabecar,45_yellow,tsikidí,tsikidí,t s i k i d í/i,,constenla2005,13,,^ t s i k i d í $,Cabecar,b
