ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CU
Teribe-45_yellow-1,,Teribe,45_yellow,ʃòinóɾ,ʃòinóɾ,ʃ ò/o i n ó/o ɾ,,constenla2005,14,,^ ʃ ò i n ó ɾ $,Teribe,
Ngabere-45_yellow-1,,Ngabere,45_yellow,sɯbɾɯɾe,sɯbɾɯɾe,s ɯ b ɾ ɯ ɾ e,,constenla2005,15,,^ s ɯ b ɾ ɯ ɾ e $,Ngabere,
Buglere-45_yellow-1,,Buglere,45_yellow,moloi,moloi,m o l o i,,constenla2005,16,,^ m o l o i $,Buglere,
Dorasque-45_yellow-1,,Dorasque,45_yellow,utká,utká,u t k á/a,,constenla2005,17,,^ u t k á $,Dorasque,
SanBlasKuna-45_yellow-1,,SanBlasKuna,45_yellow,kollokwa,kollokwa,k o ʎ o k w a,,constenla2005,18,,^ k o ll o k w a $,SanBlasKuna,
Cogui-45_yellow-1,,Cogui,45_yellow,kaʃiku'ama,kaʃiku'ama,k a ʃ i k u 'a/a m a,,constenla2005,19,,^ k a ʃ i k u 'a m a $,Cogui,c
Arhuaco-45_yellow-1,,Arhuaco,45_yellow,'tʃəmmi,'tʃəmmi,'t/t ʃ ə m i,,constenla2005,20,,^ 't ʃ ə mm i $,Arhuaco,ch
Malayo-45_yellow-1,,Malayo,45_yellow,kɨʃkwama,kɨʃkwama,k ɨ ʃ k w a m a,,constenla2005,19,,^ k ɨ ʃ k w a m a $,Malayo,c
Chimila-45_yellow-1,,Chimila,45_yellow,tʃoŋgɾagwattu,tʃoŋgɾagwattu,tʃ o ŋ g ɾ a g w a t u,,constenla2005,21,,^ tʃ o ŋ g ɾ a g w a tt u $,Chimila,
Chibcha-45_yellow-1,,Chibcha,45_yellow,tɨβan,tɨβan,t ɨ β a n,,constenla2005,20,,^ t ɨ β a n $,Chibcha,ch
CentralTunebo-45_yellow-1,,CentralTunebo,45_yellow,ta'waja,ta'waja,t 'a/a w a j a,,constenla2005,20,,^ t a' w a j a $,CentralTunebo,ch
Bari-45_yellow-1,,Bari,45_yellow,kanikã: siũkdu,kanikã: siũkdu,k a n i k ãː + s i ũ k d u,,constenla2005,22,,^ k a n i k ã: + s i ũ k d u $,Bari,
LencaSalvador-29_fasten-1,,LencaSalvador,29_fasten,waɾ,waɾ,w a ɾ,,constenla2005,23,,^ w a ɾ $,LencaSalvador,a
LencaHonduras-29_fasten-1,,LencaHonduras,29_fasten,kup,kup,k u p,,constenla2005,24,,^ k u p $,LencaHonduras,
Cacaopera-29_fasten-1,,Cacaopera,29_fasten,wiri,wiri,w i r i,,constenla2005,23,,^ w i r i $,Cacaopera,a
Mayangna-29_fasten-1,,Mayangna,29_fasten,sit,sit,s i t,,constenla2005,25,,^ s i t $,Mayangna,b
Ulwa-29_fasten-1,,Ulwa,29_fasten,sit,sit,s i t,,constenla2005,25,,^ s i t $,Ulwa,b
Miskito-29_fasten-1,,Miskito,29_fasten,wilk,wilk,w i l k,,constenla2005,23,,^ w i l k $,Miskito,a
Pech-29_fasten-1,,Pech,29_fasten,tìk,tìk,t ì/i k,,constenla2005,26,,^ t ì k $,Pech,
Rama-29_fasten-1,,Rama,29_fasten,aŋais,aŋais,a ŋ a i s,,constenla2005,27,,^ a ŋ a i s $,Rama,
MalekuJaika-29_fasten-1,,MalekuJaika,29_fasten,kera:,kera:,k e r aː,,constenla2005,28,,^ k e r a: $,MalekuJaika,c
Boruca-29_fasten-1,,Boruca,29_fasten,íŋ,íŋ,í/i ŋ,,constenla2005,29,,^ í ŋ $,Boruca,
Bribri-29_fasten-1,,Bribri,29_fasten,bõ,bõ,b õ,,constenla2005,30,,^ b õ $,Bribri,ch
Cabecar-29_fasten-1,,Cabecar,29_fasten,bõ,bõ,b õ,,constenla2005,30,,^ b õ $,Cabecar,ch
Teribe-29_fasten-1,,Teribe,29_fasten,ɸɺík,ɸɺík,ɸ ɺ í/i k,,constenla2005,31,,^ ɸ ɺ í k $,Teribe,
Ngabere-29_fasten-1,,Ngabere,29_fasten,mɔgete,mɔgete,m ɔ g e t e,,constenla2005,32,,^ m ɔ g e t e $,Ngabere,
Buglere-29_fasten-1,,Buglere,29_fasten,kagã,kagã,k a g ã,,constenla2005,33,,^ k a g ã $,Buglere,
Dorasque-29_fasten-1,,Dorasque,29_fasten,bui,bui,b u i,,constenla2005,30,,^ b u i $,Dorasque,ch
SanBlasKuna-29_fasten-1,,SanBlasKuna,29_fasten,e-tinne,e-tinne,e + t i n e,,constenla2005,34,,^ e - t i nn e $,SanBlasKuna,d
Cogui-29_fasten-1,,Cogui,29_fasten,aka-lihi,aka-lihi,a k a + l i h i,,constenla2005,34,,^ a k a - l i h i $,Cogui,d
Arhuaco-29_fasten-1,,Arhuaco,29_fasten,'aʔdʒ,'aʔdʒ,'a/a ʔ dʒ,,constenla2005,35,,^ 'a ʔ dʒ $,Arhuaco,
Malayo-29_fasten-1,,Malayo,29_fasten,ɾinʒii,ɾinʒii,ɾ i n ʒ i i,,constenla2005,34,,^ ɾ i n ʒ i i $,Malayo,d
Chimila-29_fasten-1,,Chimila,29_fasten,sikke,sikke,s i k e,,constenla2005,25,,^ s i kk e $,Chimila,b
Chibcha-29_fasten-1,,Chibcha,29_fasten,kamɨ,kamɨ,k a m ɨ,,constenla2005,36,,^ k a m ɨ $,Chibcha,
CentralTunebo-29_fasten-1,,CentralTunebo,29_fasten,ke'ta,ke'ta,k e 't/t a,,constenla2005,28,,^ k e 't a $,CentralTunebo,c
Bari-29_fasten-1,,Bari,29_fasten,ju,ju,j u,,constenla2005,37,,^ j u $,Bari,
LencaSalvador-107_tree-1,,LencaSalvador,107_tree,suN,suN,s u n,,constenla2005,38,,^ s u N $,LencaSalvador,
LencaHonduras-107_tree-1,,LencaHonduras,107_tree,ili,ili,i l i,,constenla2005,39,,^ i l i $,LencaHonduras,
Cacaopera-107_tree-1,,Cacaopera,107_tree,man,man,m a n,,constenla2005,40,,^ m a n $,Cacaopera,a
Mayangna-107_tree-1,,Mayangna,107_tree,pan,pan,p a n,,constenla2005,40,,^ p a n $,Mayangna,a
Ulwa-107_tree-1,,Ulwa,107_tree,pan,pan,p a n,,constenla2005,40,,^ p a n $,Ulwa,a
Miskito-107_tree-1,,Miskito,107_tree,dus,dus,d u s,,constenla2005,41,,^ d u s $,Miskito,
Pech-107_tree-1,,Pech,107_tree,pã̀jh,pã̀jh,p ã̀/ã j h,,constenla2005,40,,^ p ã̀ j h $,Pech,a
Rama-107_tree-1,,Rama,107_tree,ka:t,ka:t,k aː t,,constenla2005,42,,^ k a: t $,Rama,b
MalekuJaika-107_tree-1,,MalekuJaika,107_tree,ko:ɾa,ko:ɾa,k oː ɾ a,,constenla2005,42,,^ k o: ɾ a $,MalekuJaika,b
Boruca-107_tree-1,,Boruca,107_tree,kɾáŋ,kɾáŋ,k ɾ á/a ŋ,,constenla2005,42,,^ k ɾ á ŋ $,Boruca,b
Bribri-107_tree-1,,Bribri,107_tree,káɺ,káɺ,k á/a ɺ,,constenla2005,42,,^ k á ɺ $,Bribri,b
Cabecar-107_tree-1,,Cabecar,107_tree,kaɺ,kaɺ,k a ɺ,,constenla2005,42,,^ k a ɺ $,Cabecar,b
Teribe-107_tree-1,,Teribe,107_tree,kʰɔ́,kʰɔ́,kʰ ɔ́/ɔ,,constenla2005,42,,^ kʰ ɔ́ $,Teribe,b
Ngabere-107_tree-1,,Ngabere,107_tree,kɾi,kɾi,k ɾ i,,constenla2005,42,,^ k ɾ i $,Ngabere,b
Buglere-107_tree-1,,Buglere,107_tree,gli,gli,g l i,,constenla2005,42,,^ g l i $,Buglere,b
Dorasque-107_tree-1,,Dorasque,107_tree,kalkála,kalkála,k a l k á/a l a,,constenla2005,42,,^ k a l k á l a $,Dorasque,b
SanBlasKuna-107_tree-1,,SanBlasKuna,107_tree,sappi,sappi,s a p i,,constenla2005,43,,^ s a pp i $,SanBlasKuna,
Cogui-107_tree-1,,Cogui,107_tree,'kali,'kali,'k/k a l i,,constenla2005,42,,^ 'k a l i $,Cogui,b
Arhuaco-107_tree-1,,Arhuaco,107_tree,kən,kən,k ə n,,constenla2005,42,,^ k ə n $,Arhuaco,b
Malayo-107_tree-1,,Malayo,107_tree,kɨn,kɨn,k ɨ n,,constenla2005,42,,^ k ɨ n $,Malayo,b
Chimila-107_tree-1,,Chimila,107_tree,ka:,ka:,k aː,,constenla2005,42,,^ k a: $,Chimila,b
Chibcha-107_tree-1,,Chibcha,107_tree,kɨe,kɨe,k ɨ e,,constenla2005,42,,^ k ɨ e $,Chibcha,b
CentralTunebo-107_tree-1,,CentralTunebo,107_tree,'kaɾukwa,'kaɾukwa,'k/k a ɾ u k w a,,constenla2005,42,,^ 'k a ɾ u k w a $,CentralTunebo,b
Bari-107_tree-1,,Bari,107_tree,kã:,kã:,k ãː,,constenla2005,42,,^ k ã: $,Bari,b
LencaSalvador-1_sand-1,,LencaSalvador,1_sand,miʃea,miʃea,m i ʃ e a,,constenla2005,44,,^ m i ʃ e a $,LencaSalvador,
LencaHonduras-1_sand-1,,LencaHonduras,1_sand,toko,toko,t o k o,,constenla2005,45,,^ t o k o $,LencaHonduras,
Cacaopera-1_sand-1,,Cacaopera,1_sand,kui,kui,k u i,,constenla2005,46,,^ k u i $,Cacaopera,a
Mayangna-1_sand-1,,Mayangna,1_sand,kauhmak,kauhmak,k a u h m a k,,constenla2005,46,,^ k a u h m a k $,Mayangna,a
Ulwa-1_sand-1,,Ulwa,1_sand,ka:uhmak,ka:uhmak,k aː u h m a k,,constenla2005,46,,^ k a: u h m a k $,Ulwa,a
Miskito-1_sand-1,,Miskito,1_sand,ahuja,ahuja,a h u j a,,constenla2005,47,,^ a h u j a $,Miskito,
Pech-1_sand-1,,Pech,1_sand,úʔù,úʔù,ú/u ʔ ù/u,,constenla2005,48,,^ ú ʔ ù $,Pech,b
Rama-1_sand-1,,Rama,1_sand,unta:s,unta:s,u n t aː s,,constenla2005,48,,^ u n t a: s $,Rama,b
MalekuJaika-1_sand-1,,MalekuJaika,1_sand,uɬi:xa,uɬi:xa,u ɬ iː x a,,constenla2005,48,,^ u ɬ i: x a $,MalekuJaika,b
Boruca-1_sand-1,,Boruca,1_sand,ùb,ùb,ù/u b,,constenla2005,48,,^ ù b $,Boruca,b
Bribri-1_sand-1,,Bribri,1_sand,stsã̌ʔ,stsã̌ʔ,s t s ã̌/ã ʔ,,constenla2005,49,,^ s t s ã̌ ʔ $,Bribri,c
Cabecar-1_sand-1,,Cabecar,1_sand,tsã́,tsã́,t s ã́/ã,,constenla2005,49,,^ t s ã́ $,Cabecar,c
Teribe-1_sand-1,,Teribe,1_sand,ɺa,ɺa,ɺ a,,constenla2005,50,,^ ɺ a $,Teribe,
Ngabere-1_sand-1,,Ngabere,1_sand,ɯma,ɯma,ɯ m a,,constenla2005,48,,^ ɯ m a $,Ngabere,b
Buglere-1_sand-1,,Buglere,1_sand,uba,uba,u b a,,constenla2005,48,,^ u b a $,Buglere,b
Dorasque-1_sand-1,,Dorasque,1_sand,hálgu,hálgu,h á/a l g u,,constenla2005,51,,^ h á l g u $,Dorasque,
SanBlasKuna-1_sand-1,,SanBlasKuna,1_sand,ukkuppa,ukkuppa,u k u p a,,constenla2005,48,,^ u kk u pp a $,SanBlasKuna,b
Cogui-1_sand-1,,Cogui,1_sand,'ui,'ui,'u/u i,,constenla2005,48,,^ 'u i $,Cogui,b
Arhuaco-1_sand-1,,Arhuaco,1_sand,'uzu,'uzu,'u/u z u,,constenla2005,48,,^ 'u z u $,Arhuaco,b
Malayo-1_sand-1,,Malayo,1_sand,unʒu,unʒu,u n ʒ u,,constenla2005,48,,^ u n ʒ u $,Malayo,b
Chimila-1_sand-1,,Chimila,1_sand,saʔssaɾi,saʔssaɾi,s a ʔ s a ɾ i,,constenla2005,49,,^ s a ʔ ss a ɾ i $,Chimila,c
Chibcha-1_sand-1,,Chibcha,1_sand,ɣuantsa,ɣuantsa,ɣ u a n t s a,,constenla2005,48,,^ ɣ u a n t s a $,Chibcha,b
CentralTunebo-1_sand-1,,CentralTunebo,1_sand,'umita,'umita,'u/u m i t a,,constenla2005,48,,^ 'u m i t a $,CentralTunebo,b
Bari-1_sand-1,,Bari,1_sand,ũda,ũda,ũ d a,,constenla2005,48,,^ ũ d a $,Bari,b
LencaSalvador-37_bird-1,,LencaSalvador,37_bird,ts'imts'im,ts'imts'im,t s 'i/i m t s 'i/i m,,constenla2005,52,,^ t s 'i m t s 'i m $,LencaSalvador,a
LencaHonduras-37_bird-1,,LencaHonduras,37_bird,siɾa,siɾa,s i ɾ a,,constenla2005,52,,^ s i ɾ a $,LencaHonduras,a
Cacaopera-37_bird-1,,Cacaopera,37_bird,wasiri,wasiri,w a s i r i,,constenla2005,53,,^ w a s i r i $,Cacaopera,
Mayangna-37_bird-1,,Mayangna,37_bird,uhbin,uhbin,u h b i n,,constenla2005,54,,^ u h b i n $,Mayangna,
Ulwa-37_bird-1,,Ulwa,37_bird,di: baka,di: baka,d iː + b a k a,,constenla2005,55,,^ d i: + b a k a $,Ulwa,
Miskito-37_bird-1,,Miskito,37_bird,pjãwiɾa,pjãwiɾa,p j ã w i ɾ a,,constenla2005,56,,^ p j ã w i ɾ a $,Miskito,
Pech-37_bird-1,,Pech,37_bird,kwàs,kwàs,k w à/a s,,constenla2005,57,,^ k w à s $,Pech,
Rama-37_bird-1,,Rama,37_bird,sin-sak,sin-sak,s i n + s a k,,constenla2005,52,,^ s i n - s a k $,Rama,a
MalekuJaika-37_bird-1,,MalekuJaika,37_bird,ŋiskaka:,ŋiskaka:,ŋ i s k a k aː,,constenla2005,58,,^ ŋ i s k a k a: $,MalekuJaika,
Boruca-37_bird-1,,Boruca,37_bird,dù,dù,d ù/u,,constenla2005,59,,^ d ù $,Boruca,b
Bribri-37_bird-1,,Bribri,37_bird,dú,dú,d ú/u,,constenla2005,59,,^ d ú $,Bribri,b
Cabecar-37_bird-1,,Cabecar,37_bird,dù,dù,d ù/u,,constenla2005,59,,^ d ù $,Cabecar,b
Teribe-37_bird-1,,Teribe,37_bird,sínũã̀,sínũã̀,s í/i n ũ ã̀/ã,,constenla2005,60,,^ s í n ũ ã̀ $,Teribe,
Ngabere-37_bird-1,,Ngabere,37_bird,nukwɔ,nukwɔ,n u k w ɔ,,constenla2005,59,,^ n u k w ɔ $,Ngabere,b
Buglere-37_bird-1,,Buglere,37_bird,bdada,bdada,b d a d a,,constenla2005,61,,^ b d a d a $,Buglere,
Dorasque-37_bird-1,,Dorasque,37_bird,dul,dul,d u l,,constenla2005,59,,^ d u l $,Dorasque,b
SanBlasKuna-37_bird-1,,SanBlasKuna,37_bird,sikkwi,sikkwi,s i k w i,,constenla2005,62,,^ s i kk w i $,SanBlasKuna,
Cogui-37_bird-1,,Cogui,37_bird,nu'ba,nu'ba,n u 'b/b a,,constenla2005,59,,^ n u 'b a $,Cogui,b
Arhuaco-37_bird-1,,Arhuaco,37_bird,si'sio,si'sio,s i 's/s i o,,constenla2005,52,,^ s i 's i o $,Arhuaco,a
Malayo-37_bird-1,,Malayo,37_bird,suɾi,suɾi,s u ɾ i,,constenla2005,63,,^ s u ɾ i $,Malayo,c
Chimila-37_bird-1,,Chimila,37_bird,ki:tikkwi,ki:tikkwi,k iː t i k w i,,constenla2005,64,,^ k i: t i kk w i $,Chimila,
Chibcha-37_bird-1,,Chibcha,37_bird,sue,sue,s u e,,constenla2005,59,,^ s u e $,Chibcha,b
CentralTunebo-37_bird-1,,CentralTunebo,37_bird,ɾu'wasiɾa,ɾu'wasiɾa,ɾ u 'w/w a s i ɾ a,,constenla2005,59,,^ ɾ u 'w a s i ɾ a $,CentralTunebo,b
Bari-37_bird-1,,Bari,37_bird,daníkbi,daníkbi,d a n í/i k b i,,constenla2005,65,,^ d a n í k b i $,Bari,
LencaSalvador-100_dance-1,,LencaSalvador,100_dance,uli,uli,u l i,,constenla2005,66,,^ u l i $,LencaSalvador,a
LencaHonduras-100_dance-1,,LencaHonduras,100_dance,ul,ul,u l,,constenla2005,66,,^ u l $,LencaHonduras,a
Cacaopera-100_dance-1,,Cacaopera,100_dance,jaukan,jaukan,j a u k a n,,constenla2005,67,,^ j a u k a n $,Cacaopera,
Mayangna-100_dance-1,,Mayangna,100_dance,ubu,ubu,u b u,,constenla2005,68,,^ u b u $,Mayangna,
Ulwa-100_dance-1,,Ulwa,100_dance,aba:,aba:,a b aː,,constenla2005,69,,^ a b a: $,Ulwa,
Miskito-100_dance-1,,Miskito,100_dance,dans pul,dans pul,d a n s + p u l,,constenla2005,70,,^ d a n s + p u l $,Miskito,
Pech-100_dance-1,,Pech,100_dance,wiʔ,wiʔ,w i ʔ,,constenla2005,71,,^ w i ʔ $,Pech,b
Rama-100_dance-1,,Rama,100_dance,katapaik,katapaik,k a t a p a i k,,constenla2005,72,,^ k a t a p a i k $,Rama,
MalekuJaika-100_dance-1,,MalekuJaika,100_dance,ɬi:la,ɬi:la,ɬ iː l a,,constenla2005,73,,^ ɬ i: l a $,MalekuJaika,
Boruca-100_dance-1,,Boruca,100_dance,kuìk,kuìk,k u ì/i k,,constenla2005,71,,^ k u ì k $,Boruca,b
Bribri-100_dance-1,,Bribri,100_dance,kaɺʊ́tɪ,kaɺʊ́tɪ,k a ɺ ʊ́/ʊ t ɪ,,constenla2005,74,,^ k a ɺ ʊ́ t ɪ $,Bribri,c
Cabecar-100_dance-1,,Cabecar,100_dance,kaɺʊ́tɪ,kaɺʊ́tɪ,k a ɺ ʊ́/ʊ t ɪ,,constenla2005,74,,^ k a ɺ ʊ́ t ɪ $,Cabecar,c
Teribe-100_dance-1,,Teribe,100_dance,tʰàŋnióŋ,tʰàŋnióŋ,tʰ à/a ŋ n i ó/o ŋ,,constenla2005,75,,^ tʰ à ŋ n i ó ŋ $,Teribe,
Ngabere-100_dance-1,,Ngabere,100_dance,bradʒe,bradʒe,b r a dʒ e,,constenla2005,76,,^ b r a dʒ e $,Ngabere,
Buglere-100_dance-1,,Buglere,100_dance,gwie,gwie,g w i e,,constenla2005,71,,^ g w i e $,Buglere,b
Dorasque-100_dance-1,,Dorasque,100_dance,kúyi,kúyi,k ú/u j i,,constenla2005,71,,^ k ú y i $,Dorasque,b
SanBlasKuna-100_dance-1,,SanBlasKuna,100_dance,kuile,kuile,k u i l e,,constenla2005,71,,^ k u i l e $,SanBlasKuna,b
Cogui-100_dance-1,,Cogui,100_dance,kuiz,kuiz,k u i z,,constenla2005,71,,^ k u i z $,Cogui,b
Arhuaco-100_dance-1,,Arhuaco,100_dance,kué,kué,k u é/e,,constenla2005,71,,^ k u é $,Arhuaco,b
Malayo-100_dance-1,,Malayo,100_dance,ku'i,ku'i,k 'u/u i,,constenla2005,71,,^ k u' i $,Malayo,b
Chimila-100_dance-1,,Chimila,100_dance,kuiahné,kuiahné,k u i a h n é/e,,constenla2005,71,,^ k u i a h n é $,Chimila,b
Chibcha-100_dance-1,,Chibcha,100_dance,tsahana,tsahana,t s a h a n a,,constenla2005,77,,^ t s a h a n a $,Chibcha,
CentralTunebo-100_dance-1,,CentralTunebo,100_dance,ki'ni,ki'ni,k i 'n/n i,,constenla2005,78,,^ k i 'n i $,CentralTunebo,
Bari-100_dance-1,,Bari,100_dance,asi,asi,a s i,,constenla2005,79,,^ a s i $,Bari,
LencaSalvador-105_drink-1,,LencaSalvador,105_drink,tali,tali,t a l i,,constenla2005,80,,^ t a l i $,LencaSalvador,a
LencaHonduras-105_drink-1,,LencaHonduras,105_drink,tal,tal,t a l,,constenla2005,80,,^ t a l $,LencaHonduras,a
Cacaopera-105_drink-1,,Cacaopera,105_drink,dipa,dipa,d i p a,,constenla2005,81,,^ d i p a $,Cacaopera,b
Mayangna-105_drink-1,,Mayangna,105_drink,di,di,d i,,constenla2005,81,,^ d i $,Mayangna,b
Ulwa-105_drink-1,,Ulwa,105_drink,di,di,d i,,constenla2005,81,,^ d i $,Ulwa,b
Miskito-105_drink-1,,Miskito,105_drink,di,di,d i,,constenla2005,81,,^ d i $,Miskito,b
Pech-105_drink-1,,Pech,105_drink,tòk,tòk,t ò/o k,,constenla2005,82,,^ t ò k $,Pech,
Rama-105_drink-1,,Rama,105_drink,ŋw,ŋw,ŋ w,,constenla2005,83,,^ ŋ w $,Rama,
MalekuJaika-105_drink-1,,MalekuJaika,105_drink,tʃa:,tʃa:,tʃ aː,,constenla2005,84,,^ tʃ a: $,MalekuJaika,c
Boruca-105_drink-1,,Boruca,105_drink,dʒáŋ,dʒáŋ,dʒ á/a ŋ,,constenla2005,84,,^ dʒ á ŋ $,Boruca,c
Bribri-105_drink-1,,Bribri,105_drink,dʒa,dʒa,dʒ a,,constenla2005,84,,^ dʒ a $,Bribri,c
Cabecar-105_drink-1,,Cabecar,105_drink,dʒɪ,dʒɪ,dʒ ɪ,,constenla2005,84,,^ dʒ ɪ $,Cabecar,c
Teribe-105_drink-1,,Teribe,105_drink,iɪ́,iɪ́,i ɪ́/ɪ,,constenla2005,84,,^ i ɪ́ $,Teribe,c
Ngabere-105_drink-1,,Ngabere,105_drink,ɲã,ɲã,ɲ ã,,constenla2005,84,,^ ɲ ã $,Ngabere,c
Buglere-105_drink-1,,Buglere,105_drink,hai,hai,h a i,,constenla2005,85,,^ h a i $,Buglere,
Dorasque-105_drink-1,,Dorasque,105_drink,bot,bot,b o t,,constenla2005,86,,^ b o t $,Dorasque,
SanBlasKuna-105_drink-1,,SanBlasKuna,105_drink,kope,kope,k o p e,,constenla2005,87,,^ k o p e $,SanBlasKuna,
Cogui-105_drink-1,,Cogui,105_drink,'tuʃi,'tuʃi,'t/t u ʃ i,,constenla2005,88,,^ 't u ʃ i $,Cogui,
Arhuaco-105_drink-1,,Arhuaco,105_drink,aʔg,aʔg,a ʔ g,,constenla2005,89,,^ a ʔ g $,Arhuaco,ch
Malayo-105_drink-1,,Malayo,105_drink,anga,anga,a n g a,,constenla2005,89,,^ a n g a $,Malayo,ch
Chimila-105_drink-1,,Chimila,105_drink,uk,uk,u k,,constenla2005,90,,^ u k $,Chimila,
Chibcha-105_drink-1,,Chibcha,105_drink,iohotɨ,iohotɨ,i o h o t ɨ,,constenla2005,91,,^ i o h o t ɨ $,Chibcha,
CentralTunebo-105_drink-1,,CentralTunebo,105_drink,'jaʔa,'jaʔa,'j/j a ʔ a,,constenla2005,84,,^ 'j a ʔ a $,CentralTunebo,c
