ID,Language,Concept,Form,Cogid,CU
1,LS,Agua,wal,1,a
2,LH,Agua,was,1,a
3,Ca,Agua,li,2,b
4,Su,Agua,was,1,a
5,Ul,Agua,was,1,a
6,Mi,Agua,li,2,b
7,Pa,Agua,àsò,3,
8,Ra,Agua,si:,4,c
9,Gua,Agua,ti:,4,c
10,Bor,Agua,díʔ,4,c
11,Bri,Agua,dǐʔ,4,c
12,Cab,Agua,díkɺʊ́,4,c
13,Te,Agua,dí,4,c
14,Mo,Agua,ɲɤ,4,c
15,Boc,Agua,tʃi,4,c
16,Dor,Agua,yi,4,c
17,Cu,Agua,ti:,4,c
18,Co,Agua,ni,4,c
19,Ica,Agua,dʒe,4,c
20,Da,Agua,'dʒiɾa,4,c
21,Chi,Agua,ditake:,4,c
22,Mu,Agua,sie,4,c
23,Tun,Agua,'riʔa,4,c
24,Ba,Agua,sĩ: mã,4,c
25,LS,Amarillo,ku,5,
26,LH,Amarillo,suninga,6,
27,Ca,Amarillo,maju,7,
28,Su,Amarillo,lalahni,8,a
29,Ul,Amarillo,lalahka,8,a
30,Mi,Amarillo,lalalhni,8,a
31,Pa,Amarillo,sè: wa,9,
32,Ra,Amarillo,nuknukŋa,10,
33,Gua,Amarillo,ɬaxa:ɾa ɬutu iŋa,11,
34,Bor,Amarillo,ʃòsát,12,
35,Bri,Amarillo,tsikidǐdǐ,13,b
36,Cab,Amarillo,tsikidí,13,b
37,Te,Amarillo,ʃòinóɾ,14,
38,Mo,Amarillo,sɯbɾɯɾe,15,
39,Boc,Amarillo,moloi,16,
40,Dor,Amarillo,utká,17,
41,Cu,Amarillo,kollokwa,18,
42,Co,Amarillo,kaʃiku'ama,19,c
43,Ica,Amarillo,'tʃəmmi,20,ch
44,Da,Amarillo,kɨʃkwama,19,c
45,Chi,Amarillo,tʃoŋgɾagwattu,21,
46,Mu,Amarillo,tɨβan,20,ch
47,Tun,Amarillo,ta'waja,20,ch
48,Ba,Amarillo,kanikã: siũkdu,22,
49,LS,Amarrar,waɾ,23,a
50,LH,Amarrar,kup,24,
51,Ca,Amarrar,wiri,23,a
52,Su,Amarrar,sit,25,b
53,Ul,Amarrar,sit,25,b
54,Mi,Amarrar,wilk,23,a
55,Pa,Amarrar,tìk,26,
56,Ra,Amarrar,aŋais,27,
57,Gua,Amarrar,kera:,28,c
58,Bor,Amarrar,íŋ,29,
59,Bri,Amarrar,bõ,30,ch
60,Cab,Amarrar,bõ,30,ch
61,Te,Amarrar,ɸɺík,31,
62,Mo,Amarrar,mɔgete,32,
63,Boc,Amarrar,kagã,33,
64,Dor,Amarrar,bui,30,ch
65,Cu,Amarrar,e-tinne,34,d
66,Co,Amarrar,aka-lihi,34,d
67,Ica,Amarrar,'aʔdʒ,35,
68,Da,Amarrar,ɾinʒii,34,d
69,Chi,Amarrar,sikke,25,b
70,Mu,Amarrar,kamɨ,36,
71,Tun,Amarrar,ke'ta,28,c
72,Ba,Amarrar,ju,37,
73,LS,Árbol,suN,38,
74,LH,Árbol,ili,39,
75,Ca,Árbol,man,40,a
76,Su,Árbol,pan,40,a
77,Ul,Árbol,pan,40,a
78,Mi,Árbol,dus,41,
79,Pa,Árbol,pã̀jh,40,a
80,Ra,Árbol,ka:t,42,b
81,Gua,Árbol,ko:ɾa,42,b
82,Bor,Árbol,kɾáŋ,42,b
83,Bri,Árbol,káɺ,42,b
84,Cab,Árbol,kaɺ,42,b
85,Te,Árbol,kʰɔ́,42,b
86,Mo,Árbol,kɾi,42,b
87,Boc,Árbol,gli,42,b
88,Dor,Árbol,kalkála,42,b
89,Cu,Árbol,sappi,43,
90,Co,Árbol,'kali,42,b
91,Ica,Árbol,kən,42,b
92,Da,Árbol,kɨn,42,b
93,Chi,Árbol,ka:,42,b
94,Mu,Árbol,kɨe,42,b
95,Tun,Árbol,'kaɾukwa,42,b
96,Ba,Árbol,kã:,42,b
97,LS,Arena,miʃea,44,
98,LH,Arena,toko,45,
99,Ca,Arena,kui,46,a
100,Su,Arena,kauhmak,46,a
101,Ul,Arena,ka:uhmak,46,a
102,Mi,Arena,ahuja,47,
103,Pa,Arena,úʔù,48,b
104,Ra,Arena,unta:s,48,b
105,Gua,Arena,uɬi:xa,48,b
106,Bor,Arena,ùb,48,b
107,Bri,Arena,stsã̌ʔ,49,c
108,Cab,Arena,tsã́,49,c
109,Te,Arena,ɺa,50,
110,Mo,Arena,ɯma,48,b
111,Boc,Arena,uba,48,b
112,Dor,Arena,hálgu,51,
113,Cu,Arena,ukkuppa,48,b
114,Co,Arena,'ui,48,b
115,Ica,Arena,'uzu,48,b
116,Da,Arena,unʒu,48,b
117,Chi,Arena,saʔssaɾi,49,c
118,Mu,Arena,ɣuantsa,48,b
119,Tun,Arena,'umita,48,b
120,Ba,Arena,ũda,48,b
121,LS,Ave,ts'imts'im,52,a
122,LH,Ave,siɾa,52,a
123,Ca,Ave,wasiri,53,
124,Su,Ave,uhbin,54,
125,Ul,Ave,di: baka,55,
126,Mi,Ave,pjãwiɾa,56,
127,Pa,Ave,kwàs,57,
128,Ra,Ave,sin-sak,52,a
129,Gua,Ave,ŋiskaka:,58,
130,Bor,Ave,dù,59,b
131,Bri,Ave,dú,59,b
132,Cab,Ave,dù,59,b
133,Te,Ave,sínũã̀,60,
134,Mo,Ave,nukwɔ,59,b
135,Boc,Ave,bdada,61,
136,Dor,Ave,dul,59,b
137,Cu,Ave,sikkwi,62,
138,Co,Ave,nu'ba,59,b
139,Ica,Ave,si'sio,52,a
140,Da,Ave,suɾi,63,c
141,Chi,Ave,ki:tikkwi,64,
142,Mu,Ave,sue,59,b
143,Tun,Ave,ɾu'wasiɾa,59,b
144,Ba,Ave,daníkbi,65,
145,LS,Bailar,uli,66,a
146,LH,Bailar,ul,66,a
147,Ca,Bailar,jaukan,67,
148,Su,Bailar,ubu,68,
149,Ul,Bailar,aba:,69,
150,Mi,Bailar,dans pul,70,
151,Pa,Bailar,wiʔ,71,b
152,Ra,Bailar,katapaik,72,
153,Gua,Bailar,ɬi:la,73,
154,Bor,Bailar,kuìk,71,b
155,Bri,Bailar,kaɺʊ́tɪ,74,c
156,Cab,Bailar,kaɺʊ́tɪ,74,c
157,Te,Bailar,tʰàŋnióŋ,75,
158,Mo,Bailar,bradʒe,76,
159,Boc,Bailar,gwie,71,b
160,Dor,Bailar,kúyi,71,b
161,Cu,Bailar,kuile,71,b
162,Co,Bailar,kuiz,71,b
163,Ica,Bailar,kué,71,b
164,Da,Bailar,ku'i,71,b
165,Chi,Bailar,kuiahné,71,b
166,Mu,Bailar,tsahana,77,
167,Tun,Bailar,ki'ni,78,
168,Ba,Bailar,asi,79,
169,LS,Beber,tali,80,a
170,LH,Beber,tal,80,a
171,Ca,Beber,dipa,81,b
172,Su,Beber,di,81,b
173,Ul,Beber,di,81,b
174,Mi,Beber,di,81,b
175,Pa,Beber,tòk,82,
176,Ra,Beber,ŋw,83,
177,Gua,Beber,tʃa:,84,c
178,Bor,Beber,dʒáŋ,84,c
