ID,Language,Concept,Form
1,LS,WATER,wal
2,LH,WATER,was
3,Ca,WATER,li
4,Su,WATER,was
5,Ul,WATER,was
6,Mi,WATER,li
7,Pa,WATER,àsò
8,Ra,WATER,si:
9,Gua,WATER,ti:
10,Bor,WATER,díʔ
11,Bri,WATER,dǐʔ
12,Cab,WATER,díkɺʊ́
13,Te,WATER,dí
14,Mo,WATER,ɲɤ
15,Bor,WATER,tʃi
16,Dor,WATER,yi
17,Cu,WATER,ti:
18,Co,WATER,ni
19,Ica,WATER,dʒe
20,Da,WATER,'dʒiɾa
21,Chi,WATER,ditake:
22,Mu,WATER,sie
23,Tun,WATER,'riʔa
24,Ba,WATER,sĩ: mã
25,LS,YELLOW,ku
26,LH,YELLOW,suninga
27,Ca,YELLOW,maju
28,Su,YELLOW,lalahni
29,Ul,YELLOW,lalahka
30,Mi,YELLOW,lalalhni
31,Pa,YELLOW,sè: wa
32,Ra,YELLOW,nuknukŋa
33,Gua,YELLOW,ɬaxa:ɾa ɬutu iŋa
34,Bor,YELLOW,ʃòsát
35,Bri,YELLOW,tsikidǐdǐ
36,Cab,YELLOW,tsikidí
37,Te,YELLOW,ʃòinóɾ
38,Mo,YELLOW,sɯbɾɯɾe
39,Bor,YELLOW,moloi
40,Dor,YELLOW,utká
41,Cu,YELLOW,kollokwa
42,Co,YELLOW,kaʃiku'ama
43,Ica,YELLOW,'tʃəmmi
44,Da,YELLOW,kɨʃkwama
45,Chi,YELLOW,tʃoŋgɾagwattu
46,Mu,YELLOW,tɨβan
47,Tun,YELLOW,ta'w̃aja
48,Ba,YELLOW,kanikã: siũkdu
49,LS,FASTEN,waɾ
50,LH,FASTEN,kup
51,Ca,FASTEN,wiri
52,Su,FASTEN,sit
53,Ul,FASTEN,sit
54,Mi,FASTEN,wilk
55,Pa,FASTEN,tìk
56,Ra,FASTEN,aŋais
57,Gua,FASTEN,kera:
58,Bor,FASTEN,íŋ
59,Bri,FASTEN,bõ
60,Cab,FASTEN,bõ
61,Te,FASTEN,ɸɺík
62,Mo,FASTEN,mɔgete
63,Bor,FASTEN,kagã
64,Dor,FASTEN,bui
65,Cu,FASTEN,etinne
66,Co,FASTEN,akalihi
67,Ica,FASTEN,'aʔdʒ
68,Da,FASTEN,ɾinʒii
69,Chi,FASTEN,sikke
70,Mu,FASTEN,kamɨ
71,Tun,FASTEN,ke'ta
72,Ba,FASTEN,ju
73,LS,TREE,suN
74,LH,TREE,ili
75,Ca,TREE,man
76,Su,TREE,pan
77,Ul,TREE,pan
78,Mi,TREE,dus
79,Pa,TREE,pã̀jh
80,Ra,TREE,ka:t
81,Gua,TREE,ko:ɾa
82,Bor,TREE,kɾáŋ
83,Bri,TREE,káɺ
84,Cab,TREE,kaɺ
85,Te,TREE,kʰɔ́
86,Mo,TREE,kɾi
87,Bor,TREE,gli
88,Dor,TREE,kalkála
89,Cu,TREE,sappi
90,Co,TREE,'kali
91,Ica,TREE,kən
92,Da,TREE,kɨn
93,Chi,TREE,ka:
94,Mu,TREE,kɨe
95,Tun,TREE,'kaɾukwa
96,Ba,TREE,kã:
97,LS,SAND,miʃea
98,LH,SAND,toko
99,Ca,SAND,kui
100,Su,SAND,kauhmak
101,Ul,SAND,ka:uhmak
102,Mi,SAND,ahuja
103,Pa,SAND,úʔù
104,Ra,SAND,unta:s
105,Gua,SAND,uɬi:xa
106,Bor,SAND,ùb
107,Bri,SAND,stsã̌ʔ
108,Cab,SAND,tsã́
109,Te,SAND,ɺa
110,Mo,SAND,ɯma
111,Bor,SAND,uba
112,Dor,SAND,hálgu
113,Cu,SAND,ukkuppa
114,Co,SAND,'ui
115,Ica,SAND,'uzu
116,Da,SAND,unʒu
117,Chi,SAND,saʔssaɾi
118,Mu,SAND,ɣuantsa
119,Tun,SAND,'umita
120,Ba,SAND,ũda
121,LS,BIRD,ts'imts'im
122,LH,BIRD,siɾa
123,Ca,BIRD,wasiri
124,Su,BIRD,uhbin
125,Ul,BIRD,di: baka
126,Mi,BIRD,pjãwiɾa
127,Pa,BIRD,kwàs
128,Ra,BIRD,sinsak
129,Gua,BIRD,ŋiskaka:
130,Bor,BIRD,dù
131,Bri,BIRD,dú
132,Cab,BIRD,dù
133,Te,BIRD,sínũã̀
134,Mo,BIRD,nukwɔ
135,Bor,BIRD,bdada
136,Dor,BIRD,dul
137,Cu,BIRD,sikkwi
138,Co,BIRD,nu'ba
139,Ica,BIRD,si'sio
140,Da,BIRD,suɾi
141,Chi,BIRD,ki:tikkwi
142,Mu,BIRD,sue
143,Tun,BIRD,ɾu'wasiɾa
144,Ba,BIRD,daníkbi
145,LS,DANCE,uli
146,LH,DANCE,ul
147,Ca,DANCE,jaukan
148,Su,DANCE,ubu
149,Ul,DANCE,aba:
150,Mi,DANCE,dans pul
151,Pa,DANCE,wiʔ
152,Ra,DANCE,katapaik
153,Gua,DANCE,ɬi:la
154,Bor,DANCE,kuìk
155,Bri,DANCE,kaɺʊ́tɪ
156,Cab,DANCE,kaɺʊ́tɪ
157,Te,DANCE,tʰàŋnióŋ
158,Mo,DANCE,bradʒe
159,Bor,DANCE,gwie
160,Dor,DANCE,kúyi
161,Cu,DANCE,kuile
162,Co,DANCE,kuiz
163,Ica,DANCE,kué
164,Da,DANCE,ku'i
165,Chi,DANCE,kuiahné
166,Mu,DANCE,tsahana
167,Tun,DANCE,ki'ni
168,Ba,DANCE,asi
169,LS,DRINK,tali
170,LH,DRINK,tal
171,Ca,DRINK,dipa
172,Su,DRINK,di
173,Ul,DRINK,di
174,Mi,DRINK,di
175,Pa,DRINK,tòk
176,Ra,DRINK,ŋw
177,Gua,DRINK,tʃa:
178,Bor,DRINK,dʒáŋ
