Grapheme	IPA	Frequency
t	t	29
i:	i:	37
ɬ	ɬ	26
a	a	61
x	x	13
a:	a:	44
ɾ	ɾ	21
+	+	14
u	u	23
i	i	47
ŋ	ŋ	15
k	k	73
e	e	11
r	r	9
o:	o:	17
s	s	6
l	l	11
tʃ	tʃ	13
ʝ	ʝ	4
p	p	15
o	o	21
u:	u:	21
m	m	10
ɸ	ɸ	3
n	n	9
e:	e:	11
