Grapheme	IPA	Frequency
ss	s	
bb	b	
pp	p	
d	d	21
ǐ	ǐ/i	7
ʔ	ʔ	15
t	t	23
s	s	29
i	i	13
k	k	44
b	b	23
õ	õ	1
á	á/a	9
ɺ	ɺ	20
ts	ts	
ã̌	ã̌/ã	4
ú	ú/u	1
a	a	32
ʊ́	ʊ́/ʊ	9
ɪ	ɪ	10
dʒ	dʒ	14
ǔ	ǔ/u	5
x	x	4
ʊ̀	ʊ̀/ʊ	6
u	u	23
ǎ	ǎ/a	6
ã́	ã́/ã	4
ʊ̂	ʊ̂/ʊ	1
ì	ì/i	3
â	â/a	3
ʃ	ʃ	2
tʃ	tʃ	8
ṹ	ṹ/ũ	2
ẽ	ẽ	3
ḗ	ẽ́/ẽ	1
ã̀	ã̀/ã	3
p	p	8
ʊ	ʊ	3
ě	ě/e	3
ɪ̌	ɪ̌/ɪ	2
ẽ̂	ẽ̂/ẽ	4
ẽ̌	ẽ̌/ẽ	2
ʊ̌	ʊ̌/ʊ	1
è	è/e	4
ɪ̃̂	ɪ̃̀/ɪ	1
ɪ̂	ɪ̂/ɪ	4
ã̂	ã̂/ã	7
ĩ̌	ĩ̌/ĩ	2
ĩ	ĩ	2
ĩ́	ĩ́/ĩ	1
+	+	4
à	à/a	3
ǒ	ǒ/o	3
ɪ́	ɪ́/ɪ	4
ṍ	ṍ/õ	1
ĩ̀	ĩ̀/ĩ	1
í	í/i	4
ô	ô/o	1
ã	ã	1
e	e	1
ũ	ũ	1
-	+	
